datetime,rate
2015012200,2.0
2015012201,0.0
2015012202,7.0
2015012203,9.0
2015012204,5.0
2015012205,5.0
2015012206,3.0
2015012207,1.0
2015012208,3.0
2015012209,1.0
2015012210,3.0
2015012211,1.0
2015012212,7.0
2015012213,5.0
2015012214,1.0
2015012215,0.0
2015012216,3.0
2015012217,1.0
2015012218,4.0
2015012219,0.0
2015012220,2.0
2015012221,1.0
2015012222,1.0
2015012223,2.0
2015012300,3.0
2015012301,5.0
2015012302,6.0
2015012303,9.0
2015012304,3.0
2015012305,1.0
2015012306,5.0
2015012307,4.0
2015012308,2.0
2015012309,2.0
2015012310,1.0
2015012311,1.0
2015012312,1.0
2015012313,0.0
2015012314,4.0
2015012315,2.0
2015012316,0.0
2015012317,5.0
2015012318,11.0
2015012319,5.0
2015012320,1.0
2015012321,1.0
2015012322,0.0
2015012323,0.0
2015012400,3.0
2015012401,2.0
2015012402,7.0
2015012403,16.0
2015012404,42.0
2015012405,11.0
2015012406,6.0
2015012407,8.0
2015012408,3.0
2015012409,7.0
2015012410,5.0
2015012411,7.0
2015012412,2.0
2015012413,4.0
2015012414,5.0
2015012415,7.0
2015012416,3.0
2015012417,6.0
2015012418,3.0
2015012419,3.0
2015012420,1.0
2015012421,1.0
2015012422,0.0
2015012423,0.0
2015012500,0.0
2015012501,0.0
2015012502,0.0
2015012503,0.0
2015012504,0.0
2015012505,0.0
2015012506,4.0
2015012507,6.0
2015012508,11.0
2015012509,1.0
2015012510,0.0
2015012511,5.0
2015012512,1.0
2015012513,7.0
2015012514,2.0
2015012515,1.0
2015012516,4.0
2015012517,7.0
2015012518,7.0
2015012519,23.0
2015012520,6.0
2015012521,7.0
2015012522,3.0
2015012523,4.0
2015012600,3.0
2015012601,4.0
2015012602,8.0
2015012603,4.0
2015012604,8.0
2015012605,27.0
2015012606,88.0
2015012607,13.0
2015012608,13.0
2015012609,14.0
2015012610,5.0
2015012611,4.0
2015012612,10.0
2015012613,4.0
2015012614,5.0
2015012615,3.0
2015012616,7.0
2015012617,23.0
2015012618,21.0
2015012619,28.0
2015012620,15.0
2015012621,14.0
2015012622,11.0
2015012623,16.0
2015012700,8.0
2015012701,6.0
2015012702,6.0
2015012703,20.0
2015012704,72.0
2015012705,55.0
2015012706,18.0
2015012707,18.0
2015012708,35.0
2015012709,18.0
2015012710,4.0
2015012711,7.0
2015012712,10.0
2015012713,2.0
2015012714,17.0
2015012715,3.0
2015012716,6.0
2015012717,7.0
2015012718,28.0
2015012719,44.0
2015012720,34.0
2015012721,26.0
2015012722,14.0
2015012723,7.0
2015012800,8.0
2015012801,8.0
2015012802,8.0
2015012803,6.0
2015012804,8.0
2015012805,25.0
2015012806,76.0
2015012807,37.0
2015012808,41.0
2015012809,20.0
2015012810,18.0
2015012811,11.0
2015012812,13.0
2015012813,6.0
2015012814,3.0
2015012815,7.0
2015012816,41.0
2015012817,20.0
2015012818,33.0
2015012819,30.0
2015012820,63.0
2015012821,41.0
2015012822,41.0
2015012823,39.0
2015012900,37.0
2015012901,40.0
2015012902,10.0
2015012903,13.0
2015012904,8.0
2015012905,15.0
2015012906,19.0
2015012907,12.0
2015012908,13.0
2015012909,24.0
2015012910,17.0
2015012911,29.0
2015012912,22.0
2015012913,37.0
2015012914,6.0
2015012915,11.0
2015012916,17.0
2015012917,8.0
2015012918,35.0
2015012919,72.0
2015012920,122.0
2015012921,178.0
2015012922,67.0
2015012923,45.0
2015013000,58.0
2015013001,86.0
2015013002,87.0
2015013003,39.0
2015013004,21.0
2015013005,35.0
2015013006,17.0
2015013007,19.0
2015013008,20.0
2015013009,43.0
2015013010,56.0
2015013011,60.0
2015013012,50.0
2015013013,11.0
2015013014,1.0
2015013015,6.0
2015013016,6.0
2015013017,8.0
2015013018,9.0
2015013019,10.0
2015013020,53.0
2015013021,59.0
2015013022,96.0
2015013023,135.0
2015013100,289.0
2015013101,293.0
2015013102,97.0
2015013103,68.0
2015013104,55.0
2015013105,31.0
2015013106,38.0
2015013107,26.0
2015013108,27.0
2015013109,27.0
2015013110,26.0
2015013111,34.0
2015013112,16.0
2015013113,11.0
2015013114,18.0
2015013115,16.0
2015013116,37.0
2015013117,15.0
2015013118,17.0
2015013119,27.0
2015013120,93.0
2015013121,92.0
2015013122,190.0
2015013123,117.0
2015020100,104.0
2015020101,78.0
2015020102,34.0
2015020103,27.0
2015020104,32.0
2015020105,22.0
2015020106,15.0
2015020107,20.0
2015020108,15.0
2015020109,27.0
2015020110,24.0
2015020111,11.0
2015020112,13.0
2015020113,19.0
2015020114,16.0
2015020115,8.0
2015020116,3.0
2015020117,24.0
2015020118,3.0
2015020119,2.0
2015020120,3.0
2015020121,10.0
2015020122,27.0
2015020123,65.0
2015020200,104.0
2015020201,79.0
2015020202,33.0
2015020203,24.0
2015020204,38.0
2015020205,28.0
2015020206,10.0
2015020207,12.0
2015020208,24.0
2015020209,16.0
2015020210,12.0
2015020211,14.0
2015020212,8.0
2015020213,30.0
2015020214,13.0
2015020215,12.0
2015020216,9.0
2015020217,7.0
2015020218,14.0
2015020219,30.0
2015020220,9.0
2015020221,15.0
2015020222,21.0
2015020223,220.0
2015020300,411.0
2015020301,158.0
2015020302,121.0
2015020303,70.0
2015020304,46.0
2015020305,31.0
2015020306,7.0
2015020307,11.0
2015020308,21.0
2015020309,16.0
2015020310,26.0
2015020311,21.0
2015020312,48.0
2015020313,15.0
2015020314,14.0
2015020315,14.0
2015020316,19.0
2015020317,14.0
2015020318,14.0
2015020319,9.0
2015020320,8.0
2015020321,6.0
2015020322,0.0
2015020323,68.0
2015020400,112.0
2015020401,74.0
2015020402,91.0
2015020403,63.0
2015020404,63.0
2015020405,26.0
2015020406,24.0
2015020407,15.0
2015020408,13.0
2015020409,33.0
2015020410,15.0
2015020411,7.0
2015020412,11.0
2015020413,17.0
2015020414,14.0
2015020415,22.0
2015020416,11.0
2015020417,7.0
2015020418,10.0
2015020419,4.0
2015020420,7.0
2015020421,14.0
2015020422,11.0
2015020423,17.0
2015020500,27.0
2015020501,50.0
2015020502,36.0
2015020503,33.0
2015020504,41.0
2015020505,38.0
2015020506,8.0
2015020507,4.0
2015020508,3.0
2015020509,4.0
2015020510,5.0
2015020511,9.0
2015020512,8.0
2015020513,6.0
2015020514,5.0
2015020515,7.0
2015020516,2.0
2015020517,8.0
2015020518,3.0
2015020519,3.0
2015020520,1.0
2015020521,14.0
2015020522,6.0
2015020523,34.0
2015020600,4.0
2015020601,16.0
2015020602,20.0
2015020603,9.0
2015020604,16.0
2015020605,19.0
2015020606,14.0
2015020607,11.0
2015020608,12.0
2015020609,7.0
2015020610,4.0
2015020611,1.0
2015020612,4.0
2015020613,2.0
2015020614,15.0
2015020615,14.0
2015020616,29.0
2015020617,8.0
2015020618,3.0
2015020619,6.0
2015020620,2.0
2015020621,11.0
2015020622,40.0
2015020623,23.0
2015020700,30.0
2015020701,28.0
2015020702,60.0
2015020703,69.0
2015020704,51.0
2015020705,69.0
2015020706,28.0
2015020707,33.0
2015020708,44.0
2015020709,19.0
2015020710,9.0
2015020711,13.0
2015020712,8.0
2015020713,76.0
2015020714,26.0
2015020715,12.0
2015020716,14.0
2015020717,17.0
2015020718,11.0
2015020719,7.0
2015020720,7.0
2015020721,2.0
2015020722,12.0
2015020723,5.0
2015020800,3.0
2015020801,27.0
2015020802,26.0
2015020803,32.0
2015020804,21.0
2015020805,32.0
2015020806,14.0
2015020807,12.0
2015020808,17.0
2015020809,11.0
2015020810,9.0
2015020811,16.0
2015020812,19.0
2015020813,7.0
2015020814,19.0
2015020815,9.0
2015020816,285.0
2015020817,113.0
2015020818,31.0
2015020819,17.0
2015020820,17.0
2015020821,14.0
2015020822,10.0
2015020823,6.0
2015020900,11.0
2015020901,8.0
2015020902,37.0
2015020903,111.0
2015020904,97.0
2015020905,139.0
2015020906,66.0
2015020907,27.0
2015020908,26.0
2015020909,14.0
2015020910,8.0
2015020911,10.0
2015020912,7.0
2015020913,11.0
2015020914,15.0
2015020915,6.0
2015020916,14.0
2015020917,14.0
2015020918,6.0
2015020919,24.0
2015020920,18.0
2015020921,10.0
2015020922,20.0
2015020923,18.0
2015021000,15.0
2015021001,9.0
2015021002,11.0
2015021003,19.0
2015021004,40.0
2015021005,73.0
2015021006,31.0
2015021007,12.0
2015021008,7.0
2015021009,15.0
2015021010,16.0
2015021011,12.0
2015021012,5.0
2015021013,0.0
2015021014,5.0
2015021015,34.0
2015021016,15.0
2015021017,15.0
2015021018,64.0
2015021019,100.0
2015021020,25.0
2015021021,18.0
2015021022,20.0
2015021023,14.0
2015021100,7.0
2015021101,8.0
2015021102,9.0
